,tweet,politican,party,retweet,tweet_web_r,ARI,DCR,TS,punct,token,lem_token
0,Will be interviewed by @seanhannity tonight at 9:00 P.M. on @FoxNews. Enjoy!!!,Trump,R,False,Will be interviewed by @seanhannity tonight at 9:00 P.M. on @FoxNews. Enjoy!!!,10.9,6.86,6.86,Will be interviewed by seanhannity tonight at 900 PM on FoxNews Enjoy,"['Will', 'interviewed', 'seanhannity', 'tonight', '900', 'PM', 'FoxNews', 'Enjoy']","['Will', 'interviewed', 'seanhannity', 'tonight', '900', 'PM', 'FoxNews', 'Enjoy']"
1,WELCOME BACK BASEBALL! https://t.co/dhLSfNkI7L,Trump,R,False,WELCOME BACK BASEBALL! ,11.5,0.15,0.15,WELCOME BACK BASEBALL ,"['WELCOME', 'BACK', 'BASEBALL']","['WELCOME', 'BACK', 'BASEBALL']"
2,White House Press Conference at 5:15 P.M. Live!,Trump,R,False,White House Press Conference at 5:15 P.M. Live!,6.1,6.01,6.01,White House Press Conference at 515 PM Live,"['White', 'House', 'Press', 'Conference', '515', 'PM', 'Live']","['White', 'House', 'Press', 'Conference', '515', 'PM', 'Live']"
3,The Suburban Housewives of America must read this article. Biden will destroy your neighborhood and your American D… https://t.co/ufn2RFsvJU,Trump,R,False,The Suburban Housewives of America must read this article. Biden will destroy your neighborhood and your American D… ,9.0,6.71,6.71,The Suburban Housewives of America must read this article Biden will destroy your neighborhood and your American D… ,"['The', 'Suburban', 'Housewives', 'America', 'must', 'read', 'article', 'Biden', 'destroy', 'neighborhood', 'American', 'D…']","['The', 'Suburban', 'Housewives', 'America', 'must', 'read', 'article', 'Biden', 'destroy', 'neighborhood', 'American', 'D…']"
4,"Obama, who wouldn’t even endorse Biden until everyone else was out of the primaries (and even then waited a long ti… https://t.co/njPe0J63N1",Trump,R,False,"Obama, who wouldn’t even endorse Biden until everyone else was out of the primaries (and even then waited a long ti… ",10.6,8.44,8.44,Obama who wouldn’t even endorse Biden until everyone else was out of the primaries and even then waited a long ti… ,"['Obama', '’', 'even', 'endorse', 'Biden', 'everyone', 'else', 'primaries', 'even', 'waited', 'long', 'ti…']","['Obama', '’', 'even', 'endorse', 'Biden', 'everyone', 'else', 'primary', 'even', 'waited', 'long', 'ti…']"
5,The Democrats have stated strongly that they won’t approve a Payroll Tax Cut (too bad!). It would be great for work… https://t.co/1c5HyGTBXG,Trump,R,False,The Democrats have stated strongly that they won’t approve a Payroll Tax Cut (too bad!). It would be great for work… ,5.3,7.16,7.16,The Democrats have stated strongly that they won’t approve a Payroll Tax Cut too bad It would be great for work… ,"['The', 'Democrats', 'stated', 'strongly', '’', 'approve', 'Payroll', 'Tax', 'Cut', 'bad', 'It', 'would', 'great', 'work…']","['The', 'Democrats', 'stated', 'strongly', '’', 'approve', 'Payroll', 'Tax', 'Cut', 'bad', 'It', 'would', 'great', 'work…']"
6,"Recently watched failed RINO Tom Ridge, former head of Homeland Security, trying to justify his sudden love of the… https://t.co/anVO7OGBTi",Trump,R,False,"Recently watched failed RINO Tom Ridge, former head of Homeland Security, trying to justify his sudden love of the… ",12.1,10.4,10.4,Recently watched failed RINO Tom Ridge former head of Homeland Security trying to justify his sudden love of the… ,"['Recently', 'watched', 'failed', 'RINO', 'Tom', 'Ridge', 'former', 'head', 'Homeland', 'Security', 'trying', 'justify', 'sudden', 'love', 'the…']","['Recently', 'watched', 'failed', 'RINO', 'Tom', 'Ridge', 'former', 'head', 'Homeland', 'Security', 'trying', 'justify', 'sudden', 'love', 'the…']"
7,"We did great things, but it doesn’t matter to the Dems! https://t.co/itApu2V1JU",Trump,R,False,"We did great things, but it doesn’t matter to the Dems! ",3.3,5.62,5.62,We did great things but it doesn’t matter to the Dems ,"['We', 'great', 'things', '’', 'matter', 'Dems']","['We', 'great', 'thing', '’', 'matter', 'Dems']"
8,"John Bolton is, with the exception of Hillary, by far the worst offender of them all! https://t.co/dYk0dsxkG5",Trump,R,False,"John Bolton is, with the exception of Hillary, by far the worst offender of them all! ",7.2,6.4,6.4,John Bolton is with the exception of Hillary by far the worst offender of them all ,"['John', 'Bolton', 'exception', 'Hillary', 'far', 'worst', 'offender']","['John', 'Bolton', 'exception', 'Hillary', 'far', 'worst', 'offender']"
9,"Great, but did MAGA have anything to do with this great ratings success? https://t.co/npPUfQ4LLL",Trump,R,False,"Great, but did MAGA have anything to do with this great ratings success? ",6.8,7.93,7.93,Great but did MAGA have anything to do with this great ratings success ,"['Great', 'MAGA', 'anything', 'great', 'ratings', 'success']","['Great', 'MAGA', 'anything', 'great', 'rating', 'success']"
10,Liz Cheney is only upset because I have been actively getting our great and beautiful Country out of the ridiculous… https://t.co/f5JIriDKMo,Trump,R,False,Liz Cheney is only upset because I have been actively getting our great and beautiful Country out of the ridiculous… ,11.4,7.0,7.0,Liz Cheney is only upset because I have been actively getting our great and beautiful Country out of the ridiculous… ,"['Liz', 'Cheney', 'upset', 'I', 'actively', 'getting', 'great', 'beautiful', 'Country', 'ridiculous…']","['Liz', 'Cheney', 'upset', 'I', 'actively', 'getting', 'great', 'beautiful', 'Country', 'ridiculous…']"
11,I am deeply saddened by the loss of my friend Charles Evers. Charles was a trail blazer in politics and a fearless… https://t.co/NfuzZcFYJa,Trump,R,False,I am deeply saddened by the loss of my friend Charles Evers. Charles was a trail blazer in politics and a fearless… ,4.2,7.77,7.77,I am deeply saddened by the loss of my friend Charles Evers Charles was a trail blazer in politics and a fearless… ,"['I', 'deeply', 'saddened', 'loss', 'friend', 'Charles', 'Evers', 'Charles', 'trail', 'blazer', 'politics', 'fearless…']","['I', 'deeply', 'saddened', 'loss', 'friend', 'Charles', 'Evers', 'Charles', 'trail', 'blazer', 'politics', 'fearless…']"
12,We MUST protect our National Parks for our children and grandchildren. I am calling on the House to pass the GREAT… https://t.co/aC8QozIiFY,Trump,R,False,We MUST protect our National Parks for our children and grandchildren. I am calling on the House to pass the GREAT… ,5.1,1.27,1.27,We MUST protect our National Parks for our children and grandchildren I am calling on the House to pass the GREAT… ,"['We', 'MUST', 'protect', 'National', 'Parks', 'children', 'grandchildren', 'I', 'calling', 'House', 'pass', 'GREAT…']","['We', 'MUST', 'protect', 'National', 'Parks', 'child', 'grandchild', 'I', 'calling', 'House', 'pas', 'GREAT…']"
13,"Mail-In Voting, unless changed by the courts, will lead to the most CORRUPT ELECTION in our Nation’s History! #RIGGEDELECTION",Trump,R,False,"Mail-In Voting, unless changed by the courts, will lead to the most CORRUPT ELECTION in our Nation’s History! #RIGGEDELECTION",14.6,8.73,8.73,MailIn Voting unless changed by the courts will lead to the most CORRUPT ELECTION in our Nation’s History RIGGEDELECTION,"['MailIn', 'Voting', 'unless', 'changed', 'courts', 'lead', 'CORRUPT', 'ELECTION', 'Nation', '’', 'History', 'RIGGEDELECTION']","['MailIn', 'Voting', 'unless', 'changed', 'court', 'lead', 'CORRUPT', 'ELECTION', 'Nation', '’', 'History', 'RIGGEDELECTION']"
